altura,id,nombre,peso,tipo,url_de_imagen
0.7 m,1,Bulbasaur,6.9 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/001.png
1 m,2,Ivysaur,13 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/002.png
2 m,3,Venusaur,100 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/003.png
0.6 m,4,Charmander,8.5 kg,Fire,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/004.png
1.1 m,5,Charmeleon,19 kg,Fire,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/005.png
1.7 m,6,Charizard,90.5 kg,Fire,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/006.png
0.5 m,7,Squirtle,9 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/007.png
1 m,8,Wartortle,22.5 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/008.png
1.6 m,9,Blastoise,85.5 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/009.png
0.3 m,10,Caterpie,2.9 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/010.png
0.7 m,11,Metapod,9.9 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/011.png
1.1 m,12,Butterfree,32 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/012.png
0.3 m,13,Weedle,3.2 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/013.png
0.6 m,14,Kakuna,10 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/014.png
1 m,15,Beedrill,29.5 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/015.png
0.3 m,16,Pidgey,1.8 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/016.png
1.1 m,17,Pidgeotto,30 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/017.png
1.5 m,18,Pidgeot,39.5 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/018.png
0.3 m,19,Rattata,3.5 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/019.png
0.7 m,20,Raticate,18.5 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/020.png
0.3 m,21,Spearow,2 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/021.png
1.2 m,22,Fearow,38 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/022.png
2 m,23,Ekans,6.9 kg,Poison,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/023.png
3.5 m,24,Arbok,65 kg,Poison,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/024.png
0.4 m,25,Pikachu,6 kg,Electric,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/025.png
0.8 m,26,Raichu,30 kg,Electric,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/026.png
0.6 m,27,Sandshrew,12 kg,Ground,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/027.png
1 m,28,Sandslash,29.5 kg,Ground,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/028.png
0.4 m,29,Nidoran♀,7 kg,Poison,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/029.png
0.8 m,30,Nidorina,20 kg,Poison,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/030.png
1.3 m,31,Nidoqueen,60 kg,Poison,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/031.png
0.5 m,32,Nidoran♂,9 kg,Poison,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/032.png
0.9 m,33,Nidorino,19.5 kg,Poison,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/033.png
1.4 m,34,Nidoking,62 kg,Poison,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/034.png
0.6 m,35,Clefairy,7.5 kg,Fairy,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/035.png
1.3 m,36,Clefable,40 kg,Fairy,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/036.png
0.6 m,37,Vulpix,9.9 kg,Fire,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/037.png
1.1 m,38,Ninetales,19.9 kg,Fire,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/038.png
0.5 m,39,Jigglypuff,5.5 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/039.png
1 m,40,Wigglytuff,12 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/040.png
0.8 m,41,Zubat,7.5 kg,Poison,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/041.png
1.6 m,42,Golbat,55 kg,Poison,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/042.png
0.5 m,43,Oddish,5.4 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/043.png
0.8 m,44,Gloom,8.6 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/044.png
1.2 m,45,Vileplume,18.6 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/045.png
0.3 m,46,Paras,5.4 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/046.png
1 m,47,Parasect,29.5 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/047.png
1 m,48,Venonat,30 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/048.png
1.5 m,49,Venomoth,12.5 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/049.png
0.2 m,50,Diglett,0.8 kg,Ground,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/050.png
0.7 m,51,Dugtrio,33.3 kg,Ground,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/051.png
0.4 m,52,Meowth,4.2 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/052.png
1 m,53,Persian,32 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/053.png
0.8 m,54,Psyduck,19.6 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/054.png
1.7 m,55,Golduck,76.6 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/055.png
0.5 m,56,Mankey,28 kg,Fighting,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/056.png
1 m,57,Primeape,32 kg,Fighting,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/057.png
0.7 m,58,Growlithe,19 kg,Fire,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/058.png
1.9 m,59,Arcanine,155 kg,Fire,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/059.png
0.6 m,60,Poliwag,12.4 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/060.png
1 m,61,Poliwhirl,20 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/061.png
1.3 m,62,Poliwrath,54 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/062.png
0.9 m,63,Abra,19.5 kg,Psychic,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/063.png
1.3 m,64,Kadabra,56.5 kg,Psychic,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/064.png
1.5 m,65,Alakazam,48 kg,Psychic,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/065.png
0.8 m,66,Machop,19.5 kg,Fighting,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/066.png
1.5 m,67,Machoke,70.5 kg,Fighting,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/067.png
1.6 m,68,Machamp,130 kg,Fighting,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/068.png
0.7 m,69,Bellsprout,4 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/069.png
1 m,70,Weepinbell,6.4 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/070.png
1.7 m,71,Victreebel,15.5 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/071.png
